rank,stadium,capacity,region,country,city,images,home_team,location
159,He,55000,East,China,"Changsha,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Helong_Stadium.jpg/150px-Helong_Stadium.jpg,Text esta vazio,"[31.7442532, 118.3481305]"
160,Cape,55000,Africa,South,Cape,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cape_Town_Stadium_Inside.jpg/150px-Cape_Town_Stadium_Inside.jpg,Cape,"[39.1066288, -74.879361]"
161,Plovdiv,55000,Europe,Bulgaria,Plovdiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Plovdiv_Stadium.JPG/150px-Plovdiv_Stadium.JPG,Text esta vazio,"[42.1418541, 24.7499297]"
162,Bobby,55000,North,United,Atlanta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/BDS2013.jpg/150px-BDS2013.jpg,Georgia,"[45.2778671, -74.6170255]"
163,Johan,54990,Europe,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajax_0_Chelsea_1_%2823Oct19%29.jpg/150px-Ajax_0_Chelsea_1_%2823Oct19%29.jpg,AFC,"[52.636437, 5.1118795]"
164,Tianhe,54856,East,China,"Guangzhou,",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tianhe_Stadium.jpg/150px-Tianhe_Stadium.jpg,Text esta vazio,"[23.12712, 113.356424]"
165,Stadio,54726,Europe,Italy,Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg/150px-Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg,SSC,"[40.8358846, 14.2487679]"
166,Tianjin,54696,East,China,Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tianjin_Olympic_Center_Stadium.jpg/150px-Tianjin_Olympic_Center_Stadium.jpg,Tianjin,"[39.1175488, 117.1913008]"
167,MERKUR,54600,Europe,Germany,Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/LTU_arena_panorama.jpg/150px-LTU_arena_panorama.jpg,Fortuna,"[51.6404541, 14.2402475]"
168,Boris,54549,West,Georgia,Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg/150px-Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg,Georgia,"[41.72302845, 44.7897942672]"
169,Wuhan,54357,East,China,"Wuhan,",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wuhan_Sport_Centre_01.jpg/150px-Wuhan_Sport_Centre_01.jpg,Text esta vazio,"[30.5951051, 114.2999353]"
170,BC,54320,North,Canada,"Vancouver,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/BC_Place_2015_Women%27s_FIFA_World_Cup.jpg/150px-BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,Vancouver,"[55.001251, -125.002441]"
171,Yankee,54251,North,United,New,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/YankeeStadium-9-21-22-1.jpg/150px-YankeeStadium-9-21-22-1.jpg,New,"[-33.810064, 151.032435]"
172,Hrazdan,54208,West,Armenia,Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/HrazdanArmeniaTurkey.JPG/150px-HrazdanArmeniaTurkey.JPG,FC,"[40.3082852, 44.589165]"
