rank,stadium,capacity,region,country,city,images,home_team,location
247,Stadium,48707,Europe,England,"Sunderland,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/150px-Stadium_of_Light%2C_Sunderland_afc.jpg,Sunderland,"[51.1002995, -0.1962378]"
248,Estadio,48665,South,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/150px-Adios_Matador.jpg,Chile,"[-51.7261389, -72.4844421]"
249,Nelson,48459,Africa,South,Port,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/150px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,Chippa,"[-36.675211, 149.9711597]"
250,Estadio,48314,South,Argentina,Buenos,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/150px-Estadio_huracan_interior_tribuna_gcba.jpg,CA,"[-34.61612315, -58.4356234052]"
251,Jinnah,48200,South,Pakistan,Islamabad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/150px-Jinnah_Sports_Stadium_track_and_field.jpg,Pakistan,"[31.4853224, 74.2975517]"
252,Estadio,48069,South,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/150px-Estadio_Libertadores_de_America_2014.JPG,Club,"[-34.6648394, -58.3628061]"
253,Free,48000,Africa,South,"Bloemfontein,",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/150px-Free_State_Stadium1.jpg,Bloemfontein,"[51.306997, 13.5564255]"
254,Nagai,47816,East,Japan,Osaka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/150px-Nagai_stadium20040717.jpg,Cerezo,"[38.1063564, 140.0338997]"
255,Neo,47605,South,Brazil,São,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/150px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,Corinthians,"[-23.5452934, -46.4742864364]"
256,Rogers,47568,North,Canada,"Toronto,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/150px-Toronto_-_ON_-_Rogers_Centre2.jpg,Toronto,"[46.0562807, -64.0211462]"
257,Estadio,47347,South,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/150px-Estadio_Monumental_2009.jpg,Colo-Colo,"[-33.4377756, -70.6504502]"
258,Stadio,47282,Europe,Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/150px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,ACF,"[43.7697955, 11.2556404]"
259,Estadio,47027,South,Argentina,Lanús,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/150px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,CA,"[-34.7033363, -58.3953235]"
260,Estadio,46788,South,Colombia,Barranquilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/150px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,Colombia,"[6.2608828, -75.5956563]"
261,Estádio,46831,South,Brazil,Rio,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/150px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,Botafogo,"[-22.9110137, -43.2093727]"
262,Itaipava,46154,South,Brazil,São,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/150px-Panorama_of_Arena_Pernambuco.jpg,Náutico,"[-22.3828575, -43.1067126896]"
263,Arena,46000,South,Brazil,Belo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/150px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,C,"[-1.077095, -45.977833]"
264,Estádio,45954,South,Brazil,Presidente,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/150px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,Grêmio,"[-23.3114837, -51.1804341]"
265,Estadio,45739,South,Colombia,Medellín,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/150px-Atanasio_Girardot_Stadium.jpg,Atlético,"[6.2697018, -75.6025257448]"
266,Estadio,45500,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/150px-Sevilla2-1Lega20182.jpg,Sevilla,"[37.3886303, -5.9953403]"
267,Adrar,45480,Africa,Morocco,Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/150px-Stade-Adrar2019.png,Hassania,"[31.1821777, -7.8621417]"
268,Lukoil,45360,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/150px-Match_veteranov_Spartaka_%2813%29.jpg,Spartak,"[54.69342315, 20.1850146945]"
269,Grand,45240,Africa,Morocco,Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/150px-Stade_de_marrakech.jpg,Kawkab,"[5.6706165, -0.1282557]"
270,Mandela,45202,Africa,Uganda,Kampala,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mandela_National_Stadium%2C_Uganda.JPG/150px-Mandela_National_Stadium%2C_Uganda.JPG,Uganda,"[2.6935086, 31.0614995]"
271,Tarczyński,45105,Europe,Poland,Wrocław,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg/150px-Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg,Śląsk,"[51.42700105, 17.1033315811]"
272,Kazan,45105,Europe,Russia,Kazan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Poland_v._Colombia_%2842095441565%29.jpg/150px-Poland_v._Colombia_%2842095441565%29.jpg,Rubin,"[55.7823547, 49.1242266]"
273,Estadio,45056,South,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Estadio_garcilaso_cienciano.jpg/150px-Estadio_garcilaso_cienciano.jpg,CS,"[-13.5170887, -71.9785356]"
274,Estádio,45000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique,"[-25.9110678, 32.5281721]"
275,Stadion,45000,Southeast,Indonesia,"Surabaya,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Persebaya,"[-7.2459717, 112.7378266]"
276,Stadion,45000,Southeast,Indonesia,Banda,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Persiraja,","[-3.1045663, 140.9586378]"
277,Estadio,45000,South,Paraguay,Asunción,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/150px-Estadio_General_Pablo_Rojas.jpg,Club,"[-23.89941065, -55.4425898724]"
278,Stade,45000,Africa,Morocco,Casablanca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/150px-Stade_Mohamed_V%2C_Casablanca.jpg,"Wydad,","[33.5945144, -7.6200284]"
279,Latakia,45000,West,Syria,Latakia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[35.5200185, 35.7781044]"
280,Zibo,45000,East,China,"Zibo,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[36.819626, 117.980675]"
281,Weifang,45000,East,China,"Weifang,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[36.6961413, 119.0915313]"
282,Yantai,45000,East,China,"Yantai,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[37.461928, 121.4425255]"
283,Stadium,45000,Southeast,Malaysia,Seremban,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/150px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,ATM,"[5.40359375, 103.0808026496]"
284,Stade,45000,Africa,Morocco,Fes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/150px-Complexe_sportif_de_F%C3%A8s.jpg,Wydad,"[34.0346534, -5.0161926]"
285,Lagos,45000,Africa,Nigeria,Lagos,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Nigeria,"[6.4550575, 3.3941795]"
286,Egyptian,45000,Africa,Egypt,Suez,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[30.04796335, 31.2336076945]"
287,Toyota,45000,East,Japan,Toyota,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/150px-JPNxGEO20180623_%283%29.jpg,Nagoya,"[35.15195, 137.301478]"
288,Zayed,45000,West,United,Abu,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg/150px-Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,Text esta vazio,"[None, None]"
289,Red,44345,Europe,Germany,Leipzig,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/150px-Leipzig_stadium.jpg,RB,"[50.882306, 8.0026491]"
290,Estádio,44200,South,Brazil,Teresina,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,River,"[-5.0874608, -42.8049571]"
291,Estádio,44200,South,Brazil,Campo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/0253l.jpg/150px-0253l.jpg,EC,"[-8.3596391, -35.7677071]"
292,Ulsan,44102,East,South,Ulsan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Munsu_20121110_204310_5.jpg/150px-Munsu_20121110_204310_5.jpg,Ulsan,"[35.5942088, 127.8226765]"
293,Arena,44097,South,Brazil,"Cuiabá,",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Arena_Pantanal.jpg/150px-Arena_Pantanal.jpg,"Cuiabá,","[-15.5986686, -56.0991301]"
294,Arena,44000,South,Brazil,"Manaus,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Arena_Amaz%C3%B4nia_Manaus.jpg/150px-Arena_Amaz%C3%B4nia_Manaus.jpg,Nacional,"[-3.1316333, -59.9825041]"
295,Suwon,43959,East,South,Suwon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20121003_Suwon_vs_Seoul.jpg/150px-20121003_Suwon_vs_Seoul.jpg,Suwon,"[37.9332035, 126.2425613]"
296,Stadion,43923,Southeast,Indonesia,"Pekanbaru,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Riau_Main_Stadium_%28cropped%29.JPG/150px-Riau_Main_Stadium_%28cropped%29.JPG,PSPS,"[0.5262455, 101.4515727]"
297,Allianz,43713,South,Brazil,São,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg/150px-Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg,SE,"[-23.5420882, -46.5656143]"
298,Shandong,43700,East,China,"Jinan,",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SHANGDONGSPORTS.jpg/150px-SHANGDONGSPORTS.jpg,Text esta vazio,"[36.398987, 118.5055691]"
299,Polsat,43615,Europe,Poland,Gdańsk,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg/150px-Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg,Lechia,"[51.7452382, 19.8155373]"
300,Estadio,43494,South,Argentina,Buenos,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Platea_Este_Nuevo_Gasometro_1.jpg/150px-Platea_Este_Nuevo_Gasometro_1.jpg,CA,"[-34.61612315, -58.4356234052]"
301,Stadion,43269,Europe,Poland,Poznań,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Stadion_Miejski_w_Poznaniu_2013_panorama.jpg/150px-Stadion_Miejski_w_Poznaniu_2013_panorama.jpg,Lech,"[52.4006632, 16.9197325918]"
302,Vasil,43230,Europe,Bulgaria,Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Vasil_Levski_National_Stadium_2022.jpg/150px-Vasil_Levski_National_Stadium_2022.jpg,Bulgaria,"[42.6875707, 23.3352430586]"
303,Estadio,43000,South,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Vista_estadios_san_marcos.jpg/150px-Vista_estadios_san_marcos.jpg,Deportivo,"[-12.0621065, -77.0365256]"
304,Ullevi,43000,Europe,Sweden,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ullevi_stadium%2C_23_june_2018.png/150px-Ullevi_stadium%2C_23_june_2018.png,Sweden,"[57.7059197, 11.9873275989]"
305,Jinzhou,43000,East,China,Jinzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[41.1087113, 121.1186159]"
306,Estadio,42901,South,Colombia,Cúcuta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cucuta704.jpg/150px-Cucuta704.jpg,Cúcuta,"[7.8971458, -72.5080387]"
307,Villa,42682,Europe,England,"Birmingham,",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Villa_Stadion_panorama_2016.jpg/150px-Villa_Stadion_panorama_2016.jpg,Aston,"[51.4670541, -2.5960417189]"
308,Perak,42500,Southeast,Malaysia,Perak,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Perak_Stadium.JPG/150px-Perak_Stadium.JPG,Perak,"[4.812181, 100.9797908]"
309,Jeonju,42477,East,South,Jeonju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg/150px-%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg,Jeonbuk,"[35.7923409, 128.0887736]"
310,Ligga,42372,South,Brazil,"Curitiba,",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Arenadabaixada2.jpg/150px-Arenadabaixada2.jpg,Athletico,"[-25.44829025, -49.2769379717]"
311,Weserstadion,42358,Europe,Germany,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Weserstadion_panorama.JPG/150px-Weserstadion_panorama.JPG,SV,"[53.06644785, 8.8376718151]"
312,Denka,42300,East,Japan,"Niigata,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bigswan080628.JPG/150px-Bigswan080628.JPG,Albirex,"[37.022147, 137.8168476746]"
313,Estadio,42200,South,Venezuela,Mérida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Metropolitanodemeridacopamerica.jpg/150px-Metropolitanodemeridacopamerica.jpg,Estudiantes,"[8.5816963, -71.1658075]"
314,Daejeon,42176,East,South,Daejeon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Daejeon_World_Cup_Stadium.JPG/150px-Daejeon_World_Cup_Stadium.JPG,Daejeon,"[35.2874704, 126.3950808]"
315,Matmut,42115,Europe,France,Bordeaux,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/500px_photo_%28165733217%29.jpeg/150px-500px_photo_%28165733217%29.jpeg,FC,"[48.8765926, 2.3563762]"
316,Helsingin,42062,Europe,Finland,Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Olympiastadion_2_2020-08-12.jpg/150px-Olympiastadion_2_2020-08-12.jpg,Finland,"[60.22672205, 25.0176700495]"
317,Estádio,42000,South,Brazil,"Goiânia,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Serra_Dourada_Lotado.jpg/150px-Serra_Dourada_Lotado.jpg,Goiás,"[-16.680882, -49.2532691]"
318,Estadio,42000,South,Colombia,Cali,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/SportingCali12.png/150px-SportingCali12.png,Deportivo,"[3.4108435, -76.5812127111]"
319,Estadio,42000,South,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Estadio_Modelo_Lleno_2007_-_panoramio.jpg/150px-Estadio_Modelo_Lleno_2007_-_panoramio.jpg,Club,"[-2.1900563, -79.8868741]"
320,Estádio,42000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique,"[-25.966213, 32.56745]"
321,Chengdu,42000,East,China,"Chengdu,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Chengdu_Sports_Center.JPG/150px-Chengdu_Sports_Center.JPG,Text esta vazio,"[30.6598628, 104.0633717]"
322,Royal,42000,Africa,South,"Phokeng,",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Royal_Bafokeng_Stadium%2C_Phokeng.jpg/150px-Royal_Bafokeng_Stadium%2C_Phokeng.jpg,Text esta vazio,"[18.3436649, -72.5227166]"
323,Estadio,42000,North,Mexico,San,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Estadio_Universitario_Concachampions.jpg/150px-Estadio_Universitario_Concachampions.jpg,Tigres,"[24.7725687, -107.3434445]"
324,Estadio,42000,South,Argentina,Santa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg/150px-Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg,Club,"[4.9037037, -75.5025961]"
325,Estadio,42000,South,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Estadio_Marcelo_Bielsa.jpg/150px-Estadio_Marcelo_Bielsa.jpg,Newell's,"[-32.9593609, -60.6617024]"
326,Stade,41965,Europe,France,Saint-Étienne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/St_Etienne_Stade_Geoffroy_Guichard.jpg/150px-St_Etienne_Stade_Geoffroy_Guichard.jpg,AS,"[45.4401467, 4.3873058]"
327,Vodafone,41903,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Vodafone_Park_Panorama.jpg/150px-Vodafone_Park_Panorama.jpg,Beşiktaş,"[41.102461, 28.8626999]"
328,Peter,41733,Africa,South,Polokwane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Teams_are_warming_up_%284738980575%29.jpg/150px-Teams_are_warming_up_%284738980575%29.jpg,Polokwane,"[37.0167456, 26.9440858]"
329,Estadio,41654,South,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Estadio_Gigante_de_Arroyito.jpg/150px-Estadio_Gigante_de_Arroyito.jpg,Rosario,"[-32.9593609, -60.6617024]"
330,Estadio,41600,South,Venezuela,Ciudad,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/CTE_Chamay_Aereo_Cut.jpg/150px-CTE_Chamay_Aereo_Cut.jpg,Atlético,"[-34.6152097, -58.404737]"
331,Estadio,41596,South,Ecuador,Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG/150px-Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,LDU,"[-0.2201641, -78.5123274]"
332,Allianz,41507,Europe,Italy,"Turin,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg/150px-Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,Juventus,"[45.47757575, 9.1572575]"
333,Sapporo,41484,East,Japan,"Sapporo,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sapporo_Dome_001.jpeg/150px-Sapporo_Dome_001.jpeg,Hokkaido,"[43.061936, 141.3542924]"
334,Stamford,41663,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg/150px-Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg,Chelsea,"[52.6519973, -0.4804579]"
335,Goyang,41311,East,South,Goyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Goyang_sta_1.JPG/150px-Goyang_sta_1.JPG,Text esta vazio,"[-3.4161, 119.4871]"
336,Estadio,41143,South,Bolivia,La,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Hernando_Siles_Stadium_-_La_Paz.jpg/150px-Hernando_Siles_Stadium_-_La_Paz.jpg,La,"[-22.5193099, -63.8052657513]"
337,Bingu,41100,Africa,Malawi,Lilongwe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/BINGU_NATIONAL_STADIUM.jpg/150px-BINGU_NATIONAL_STADIUM.jpg,"Flames,","[-13.9438618, 33.7531969012]"
338,Mbombela,40929,Africa,South,"Nelspruit,",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mbombela_Stadium_arena.jpg/150px-Mbombela_Stadium_arena.jpg,Text esta vazio,"[-26.2546016, 28.0936763]"
339,Estadio,40800,South,Venezuela,Maracaibo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/JPPachenchoRomero-16.jpg/150px-JPPachenchoRomero-16.jpg,Deportivo,"[10.6498095, -71.6443596]"
340,Stade,40784,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nelson_Mandela_Stadium.jpg/150px-Nelson_Mandela_Stadium.jpg,Algeria,"[36.772925, 3.058819]"
341,Kashima,40728,East,Japan,"Kashima,",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kashima_Soccer_Stadium_5.jpg/150px-Kashima_Soccer_Stadium_5.jpg,Kashima,"[35.9661164, 140.6450292]"
342,Baba,40528,Africa,Ghana,Kumasi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kumasi924.JPG/150px-Kumasi924.JPG,Asante,"[6.68217, -1.6050641736]"
343,Estádio,40502,South,Brazil,"Curitiba,",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Est%C3%A1dio_Couto_Pereira.jpg/150px-Est%C3%A1dio_Couto_Pereira.jpg,Coritiba,"[-25.4295963, -49.2712724]"
344,Stage,40500,Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Estadicornellaelprat_1.jpg/150px-Estadicornellaelprat_1.jpg,RCD,"[40.4498565, -3.675747471]"
345,Estadio,40312,South,Venezuela,Barquisimeto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Estadio_Metropolitano_de_Lara.jpg/150px-Estadio_Metropolitano_de_Lara.jpg,Unión,"[10.0774374, -69.3222293]"
346,Estadio,40268,South,Argentina,Mendoza,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Estadio_Malvinas_Argentinas_2012.jpg/150px-Estadio_Malvinas_Argentinas_2012.jpg,Godoy,"[-32.8894155, -68.8446177]"
347,Stadion,40263,Southeast,Indonesia,Nolokla,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lukas_Enembe_Stadium.jpg/150px-Lukas_Enembe_Stadium.jpg,Persipura,"[-2.5833851, 140.5745105]"
348,Gwangju,40245,East,South,Gwangju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gwangju_World_Cup_Stadium.jpg/150px-Gwangju_World_Cup_Stadium.jpg,Gwangju,"[35.2329165, 126.8475541]"
349,Sân,40192,Southeast,Vietnam,Hanoi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg/150px-Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg,Vietnam,"[10.0832378, 105.7309840625]"
350,Goodison,40157,Europe,England,"Liverpool,",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Goodison_Park_August_2022.jpg/150px-Goodison_Park_August_2022.jpg,Everton,"[53.43868975, -2.9664192835]"
351,Estádio,40149,South,Brazil,São,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg/150px-Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg,Sampaio,"[-23.4647655, -46.8584264454]"
352,Stade,40143,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Stade_de_Oran.jpg/150px-Stade_de_Oran.jpg,Algeria,"[35.7044415, -0.6502981]"
353,Estadio,40005,South,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg/150px-Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg,Club,"[-34.9058916, -56.1913095]"
354,Metalist,40003,Europe,Ukraine,Kharkiv,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Metalist_Stadium_Kharkiv.jpg/150px-Metalist_Stadium_Kharkiv.jpg,FC,"[47.8249687, 38.2996095]"
355,Al-Janoub,40000,West,Qatar,Al-Wakrah,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg/150px-Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg,Text esta vazio,"[25.15706585, 51.5464786463]"
